nominee,award1,award2,award3,award5,award6,award7,award4
movie1,yes,yes,no,no,yes,no,no
movie2,no,yes,yes,yes,yes,no,yes
movie3,no,no,yes,no,no,yes,no
movie4,no,no,no,no,no,no,no
movie6,no,no,no,no,no,no,no
movie7,no,no,no,no,no,no,no
movie8,no,no,no,no,no,no,no
movie9,no,no,no,no,no,no,no
movie10,yes,yes,no,no,yes,no,no
movie11,no,yes,yes,yes,yes,yes,yes
movie12,no,no,yes,no,no,yes,no
movie13,no,no,no,no,no,no,no
movie14,no,no,no,no,no,no,no
movie15,no,no,no,no,no,no,no
movie16,no,no,no,no,no,no,no
movie17,no,no,no,no,no,no,no
