BORO,CUISINE,GRADE
BRONX,African,A
BRONX,African,A
MANHATTAN,African,A
MANHATTAN,African,A
BRONX,African,A
BRONX,African,A
BROOKLYN,African,A
MANHATTAN,African,A
MANHATTAN,African,A
STATEN ISLAND,African,A
MANHATTAN,African,A
MANHATTAN,African,A
MANHATTAN,African,A
MANHATTAN,African,A
BRONX,African,A
BRONX,African,A
BRONX,African,A
MANHATTAN,African,A
BRONX,African,A
STATEN ISLAND,African,A
STATEN ISLAND,African,A
BRONX,African,A
BRONX,African,A
BROOKLYN,African,A
MANHATTAN,African,A
BROOKLYN,African,A
BROOKLYN,African,A
QUEENS,African,A
BROOKLYN,African,A
STATEN ISLAND,African,A
BRONX,African,A
BROOKLYN,African,A
BROOKLYN,African,A
BROOKLYN,African,A
BROOKLYN,African,A
QUEENS,African,A
QUEENS,African,A
QUEENS,African,A
BRONX,African,A
BRONX,African,A
BRONX,African,A
BRONX,African,A
MANHATTAN,African,A
BRONX,African,A
BRONX,African,A
QUEENS,African,A
BRONX,African,A
QUEENS,African,A
BRONX,African,A
QUEENS,African,A
QUEENS,African,A
BRONX,African,A
BRONX,African,A
MANHATTAN,African,A
MANHATTAN,African,A
BRONX,African,A
BRONX,African,A
BRONX,African,A
BRONX,African,A
BRONX,African,A
BRONX,African,A
BRONX,African,A
BRONX,African,A
BRONX,African,A
BRONX,African,A
BRONX,African,A
QUEENS,African,A
BRONX,African,A
BRONX,African,A
BRONX,African,A
MANHATTAN,African,A
MANHATTAN,African,A
MANHATTAN,African,A
BRONX,African,A
BROOKLYN,African,A
BRONX,African,A
BRONX,African,A
BROOKLYN,African,A
BROOKLYN,African,A
BROOKLYN,African,A
BRONX,African,A
BRONX,African,A
QUEENS,African,A
BRONX,African,A
BRONX,African,A
MANHATTAN,African,A
QUEENS,African,A
BRONX,African,A
BROOKLYN,African,A
BRONX,African,A
BRONX,African,A
BRONX,African,A
BRONX,African,A
BRONX,African,A
BRONX,African,A
BRONX,African,A
BRONX,African,A
MANHATTAN,African,A
MANHATTAN,African,A
BRONX,African,A
MANHATTAN,African,A
MANHATTAN,African,A
QUEENS,African,A
QUEENS,African,A
MANHATTAN,African,A
MANHATTAN,African,A
BRONX,African,A
BRONX,African,A
MANHATTAN,African,A
BROOKLYN,African,A
QUEENS,African,A
MANHATTAN,African,A
BRONX,African,A
BRONX,African,A
BRONX,African,A
BRONX,African,A
BRONX,African,A
BROOKLYN,African,A
BRONX,African,A
MANHATTAN,African,A
MANHATTAN,African,A
MANHATTAN,African,A
BRONX,African,A
BRONX,African,A
MANHATTAN,African,A
MANHATTAN,African,A
MANHATTAN,African,A
BRONX,African,A
BRONX,African,A
BROOKLYN,African,A
BRONX,African,A
QUEENS,African,A
MANHATTAN,African,A
BRONX,American ,A
MANHATTAN,American ,A
MANHATTAN,American ,A
QUEENS,American ,A
MANHATTAN,American ,A
MANHATTAN,American ,A
QUEENS,American ,A
QUEENS,American ,A
QUEENS,American ,A
MANHATTAN,American ,A
MANHATTAN,American ,A
QUEENS,American ,A
QUEENS,American ,A
QUEENS,American ,A
MANHATTAN,American ,A
MANHATTAN,American ,A
MANHATTAN,American ,A
MANHATTAN,American ,A
MANHATTAN,American ,A
MANHATTAN,American ,A
MANHATTAN,American ,A
BROOKLYN,American ,A
STATEN ISLAND,American ,A
MANHATTAN,American ,A
BROOKLYN,American ,A
BROOKLYN,American ,A
QUEENS,American ,A
QUEENS,American ,A
MANHATTAN,American ,A
BROOKLYN,American ,A
BROOKLYN,American ,A
MANHATTAN,American ,A
BRONX,American ,A
MANHATTAN,American ,A
MANHATTAN,American ,A
MANHATTAN,American ,A
QUEENS,American ,A
QUEENS,American ,A
MANHATTAN,American ,A
MANHATTAN,American ,A
QUEENS,American ,A
MANHATTAN,American ,A
BROOKLYN,American ,A
BRONX,American ,A
BRONX,American ,A
BROOKLYN,American ,A
MANHATTAN,American ,A
QUEENS,American ,A
QUEENS,American ,A
BROOKLYN,American ,A
MANHATTAN,American ,A
MANHATTAN,American ,A
MANHATTAN,American ,A
BROOKLYN,American ,A
MANHATTAN,American ,A
QUEENS,American ,A
QUEENS,American ,A
MANHATTAN,American ,A
BROOKLYN,American ,A
MANHATTAN,American ,A
MANHATTAN,American ,A
MANHATTAN,American ,A
MANHATTAN,American ,A
QUEENS,American ,A
MANHATTAN,American ,A
MANHATTAN,American ,A
MANHATTAN,American ,A
MANHATTAN,American ,A
MANHATTAN,American ,A
MANHATTAN,American ,A
BROOKLYN,American ,A
BROOKLYN,American ,A
MANHATTAN,American ,A
MANHATTAN,American ,A
MANHATTAN,American ,A
MANHATTAN,American ,A
BRONX,American ,A
BRONX,American ,A
BROOKLYN,American ,A
STATEN ISLAND,American ,A
MANHATTAN,American ,A
BROOKLYN,American ,A
BROOKLYN,American ,A
QUEENS,American ,A
BROOKLYN,American ,A
MANHATTAN,American ,A
MANHATTAN,American ,A
BROOKLYN,American ,A
BROOKLYN,American ,A
BROOKLYN,American ,A
BROOKLYN,American ,A
MANHATTAN,American ,A
QUEENS,American ,A
QUEENS,American ,A
QUEENS,American ,A
MANHATTAN,American ,A
MANHATTAN,American ,A
MANHATTAN,American ,A
MANHATTAN,American ,A
BROOKLYN,American ,A
BROOKLYN,American ,A
