BORO,CUISINE,GRADE
BROOKLYN,Indian,A
BROOKLYN,Coffee/Tea,A
QUEENS,Thai,A
QUEENS,Thai,A
BROOKLYN,Mediterranean,A
QUEENS,Chinese,A
QUEENS,Chinese,A
BROOKLYN,Sandwiches/Salads/Buffet,B
BRONX,American ,A
QUEENS,Latin,B
QUEENS,Latin,A
QUEENS,Delicatessen,A
MANHATTAN,American ,A
MANHATTAN,American ,A
QUEENS,Pizza,B
QUEENS,American ,C
BROOKLYN,Chinese,A
MANHATTAN,Asian,A
MANHATTAN,American ,A
MANHATTAN,American ,B
QUEENS,Ice Cream/Gelato/Yogurt,A
QUEENS,Coffee/Tea,B
BROOKLYN,Chinese,C
MANHATTAN,Italian,A
BROOKLYN,Caribbean,A
QUEENS,French,A
QUEENS,French,A
QUEENS,American ,A
QUEENS,American ,A
QUEENS,American ,C
MANHATTAN,American ,B
MANHATTAN,American ,A
STATEN ISLAND,Chinese/Japanese,C
QUEENS,American ,C
BROOKLYN,Japanese,A
QUEENS,Spanish,C
BROOKLYN,Delicatessen,A
BROOKLYN,Delicatessen,C
MANHATTAN,Latin,A
